,구별,소계,2013년도 이전,2014년,2015년,2016년,최근증가율,강간 발생,강도 발생,살인 발생,절도 발생,폭력 발생
0,강남구,2780,1292,430,584,932,150.61919504643964,449,21,13,3850,4284
1,강동구,773,379,99,155,377,166.49076517150397,156,6,4,2366,2712
2,강북구,748,369,120,138,204,125.20325203252031,153,14,7,1434,2649
3,강서구,884,388,258,184,81,134.7938144329897,262,13,7,2096,3207
4,관악구,1496,846,260,390,613,149.29078014184398,320,12,9,2706,3298
5,광진구,707,573,78,53,174,53.22862129144852,240,14,4,3026,2625
6,구로구,1561,1142,173,246,323,64.97373029772329,281,15,8,2335,3007
7,금천구,1015,674,51,269,354,100.0,151,6,3,1567,2054
8,노원구,1265,542,57,451,516,188.929889298893,197,7,10,2193,2723
9,도봉구,485,238,159,42,386,246.6386554621849,102,9,3,1063,1487
10,동대문구,1294,1070,23,198,579,74.76635514018692,173,13,5,1981,2548
11,동작구,1091,544,341,103,314,139.33823529411765,285,9,5,1865,1910
12,마포구,574,314,118,169,379,212.1019108280255,294,14,8,2555,2983
13,서대문구,962,844,50,68,292,48.5781990521327,154,5,2,1812,2056
14,서초구,1930,1406,157,336,398,63.37126600284495,393,9,8,2635,2399
15,성동구,1062,730,91,241,265,81.78082191780823,126,9,4,1607,1612
16,성북구,1464,1009,78,360,204,63.62735381565907,150,5,5,1785,2209
17,송파구,618,529,21,68,463,104.34782608695652,220,13,11,3239,3295
18,양천구,2034,1843,142,30,467,34.67173087357569,120,6,3,1890,2509
19,영등포구,904,495,214,195,373,157.97979797979798,295,22,14,2964,3572
20,용산구,1624,1368,218,112,398,53.216374269005854,194,14,5,1557,2050
21,은평구,1873,1138,224,278,468,85.23725834797891,166,9,3,1914,2653
22,종로구,1002,464,314,211,630,248.92241379310346,211,11,6,2184,2293
23,중구,671,413,190,72,348,147.6997578692494,170,9,3,2548,2224
24,중랑구,660,509,121,177,109,79.96070726915521,187,11,13,2135,2847
